ID,emotion
1,6
2,5
3,2
4,4
5,3
6,3
7,2
8,4
9,6
10,0
11,3
12,0
13,0
14,2
15,6
16,0
17,5
18,2
19,5
20,3
21,6
22,5
23,0
24,6
25,6
26,2
27,4
28,2
29,5
30,5
31,3
32,4
33,3
34,6
35,4
36,4
37,6
38,2
39,2
40,3
41,0
42,4
43,6
44,4
45,4
46,4
47,5
48,3
49,5
50,6
51,0
52,6
53,5
54,4
55,4
56,3
57,4
58,5
59,5
60,3
61,6
62,2
63,4
64,5
65,5
66,3
67,4
68,6
69,6
70,6
71,4
72,5
73,0
74,3
75,5
76,4
77,5
78,3
79,0
80,4
81,0
82,0
83,0
84,4
85,5
86,4
87,3
88,3
89,6
90,3
91,6
92,2
93,3
94,6
95,0
96,0
97,5
98,3
99,3
100,0
101,3
102,6
103,4
104,3
105,0
106,0
107,4
108,6
109,6
110,4
111,3
112,0
113,2
114,0
115,3
116,2
117,5
118,6
119,2
120,6
121,5
122,0
123,2
124,2
125,4
126,3
127,2
128,0
129,5
130,5
131,2
132,4
133,2
134,6
135,0
136,5
137,2
138,6
139,6
140,6
141,6
142,6
143,2
144,4
145,2
146,0
147,3
148,3
149,3
150,2
151,2
152,2
153,5
154,3
155,5
156,5
157,2
158,2
159,2
160,3
161,0
162,3
163,3
164,3
165,6
166,6
167,0
168,0
169,5
170,3
171,0
172,6
173,5
174,6
175,4
176,4
177,0
178,4
179,0
180,5
181,6
182,3
183,5
184,3
185,5
186,2
187,6
188,3
189,0
190,3
191,0
192,2
193,6
194,5
195,3
196,5
197,5
198,0
199,0
200,2
201,6
202,6
203,5
204,3
205,0
206,2
207,6
208,4
209,2
210,0
211,6
212,4
213,0
214,4
215,0
216,2
217,2
218,0
219,4
220,3
221,4
222,4
223,5
224,4
225,0
226,3
227,5
228,4
229,4
230,1
231,1
232,2
233,6
234,6
235,2
236,0
237,3
238,2
239,0
240,0
241,3
242,6
243,0
244,0
245,1
246,2
247,3
248,6
249,0
250,0
251,6
252,4
253,2
254,3
255,0
256,6
257,5
258,4
259,2
260,6
261,6
262,6
263,0
264,4
265,2
266,6
267,2
268,3
269,3
270,6
271,2
272,6
273,5
274,6
275,2
276,3
277,2
278,5
279,0
280,2
281,3
282,3
283,6
284,2
285,4
286,0
287,3
288,0
289,0
290,6
291,6
292,6
293,6
294,0
295,3
296,5
297,4
298,2
299,6
300,4
301,0
302,4
303,2
304,3
305,0
306,6
307,5
308,2
309,3
310,3
311,3
312,0
313,4
314,0
315,2
316,0
317,0
318,2
319,4
320,3
321,2
322,4
323,6
324,3
325,2
326,0
327,2
328,3
329,3
330,4
331,6
332,3
333,0
334,3
335,5
336,3
337,2
338,2
339,5
340,3
341,4
342,5
343,6
344,6
345,4
346,0
347,3
348,3
349,2
350,4
351,3
352,0
353,6
354,3
355,3
356,4
357,3
358,0
359,3
360,4
361,2
362,0
363,2
364,2
365,5
366,3
367,3
368,0
369,2
370,2
371,0
372,6
373,4
374,2
375,4
376,2
377,2
378,5
379,3
380,4
381,6
382,2
383,3
384,2
385,0
386,6
387,3
388,5
389,6
390,4
391,2
392,0
393,3
394,5
395,0
396,5
397,2
398,2
399,0
400,0
401,6
402,5
403,3
404,3
405,2
406,6
407,5
408,5
409,3
410,5
411,3
412,2
413,4
414,3
415,6
416,3
417,6
418,4
419,2
420,4
421,0
422,3
423,2
424,3
425,4
426,0
427,0
428,6
429,3
430,4
431,2
432,4
433,2
434,3
435,6
436,0
437,2
438,2
439,3
440,0
441,4
442,0
443,6
444,2
445,4
446,4
447,0
448,0
449,2
450,1
451,4
452,3
453,4
454,6
455,4
456,5
457,2
458,4
459,2
460,6
461,5
462,5
463,3
464,1
465,6
466,4
467,2
468,0
469,5
470,2
471,3
472,5
473,2
474,2
475,6
476,1
477,3
478,6
479,0
480,4
481,0
482,2
483,6
484,4
485,2
486,4
487,6
488,5
489,3
490,6
491,6
492,4
493,3
494,0
495,0
496,2
497,6
498,2
499,1
500,4
501,4
502,2
503,3
504,2
505,6
506,6
507,2
508,4
509,4
510,4
511,2
512,3
513,0
514,3
515,6
516,3
517,5
518,4
519,0
520,4
521,0
522,2
523,4
524,6
525,3
526,3
527,3
528,5
529,0
530,3
531,3
532,0
533,5
534,5
535,0
536,3
537,6
538,6
539,5
540,0
541,4
542,6
543,6
544,6
545,4
546,6
547,0
548,6
549,3
550,3
551,2
552,4
553,4
554,2
555,0
556,4
557,2
558,4
559,4
560,4
561,1
562,6
563,5
564,0
565,2
566,5
567,0
568,2
569,2
570,6
571,6
572,3
573,6
574,6
575,2
576,2
577,2
578,3
579,3
580,4
581,3
582,0
583,3
584,3
585,5
586,0
587,6
588,5
589,6
590,3
591,6
592,3
593,4
594,4
595,3
596,3
597,4
598,6
599,4
600,4
601,4
602,3
603,2
604,6
